Phone_service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Age_s,Number_Dependents_s,Number_Referrals_s,Tenure_s,Average_Monthly_Long_Distance_Charges_s,Average_Monthly_GB_Download_s,Monthly_Charge_s,Total_Charges_s,Total_Refunds_s,Total_Extra_Data_Charges_s,Total_Long_Distance_Charges_s,Churn
Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.3278688524590164,0.0,0.0,0.8450704225352113,0.0,0.3132530120481928,0.08616702355460386,0.0,0.0,0.0,0.005465375425052845,1
Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,0.6065573770491803,0.0,0.09090909090909091,0.35211267605633806,0.0,0.0,0.11211991434689508,0.0,0.0,0.0,0.31556152927120673,0
Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,0.47540983606557374,0.0,0.18181818181818182,1.0,0.0,0.14457831325301207,0.06295503211991435,0.0,0.0,0.0,0.0026020126826578442,0
Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.19672131147540983,0.0,0.0,0.0,0.0,0.3132530120481928,0.07768736616702356,0.0,0.0,0.0,0.0,1
Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.6721311475409837,0.0,0.0,0.19718309859154928,0.8133626725345069,0.07228915662650603,0.06055674518201285,0.0,0.0,0.0,0.0026106286186931347,1
Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.8852459016393442,0.0,0.0,0.0,0.0,0.3012048192771084,0.5991434689507495,0.008393378889962142,0.0,0.0,0.006332712985938793,1
Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.2622950819672132,0.0,0.0,0.33802816901408456,0.0,0.07228915662650603,0.026124197002141327,0.0,0.39044886247181804,0.0,0.002886338571822443,1
Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.21311475409836067,0.0,0.0,0.47887323943661975,0.0,0.1807228915662651,0.12376873661670236,0.0,0.0,0.0,0.005585998529546917,1
Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9180327868852459,0.0,0.0,0.056338028169014086,0.0,0.1204819277108434,0.14629550321199142,0.0,0.0,0.0,0.0037565481113868214,1
Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.836065573770492,0.0,0.4545454545454546,0.04225352112676056,0.0,0.07228915662650603,0.1886081370449679,0.0,0.6302521008403362,0.0,3.4463744141163496e-05,0
Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.21311475409836067,0.0,0.0,0.09859154929577466,0.0,0.16867469879518074,0.1115203426124197,0.0,0.0,0.0,0.0055371748920136025,1
Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.6885245901639344,0.0,0.0,0.3098591549295775,0.0,0.04819277108433736,0.0007708779443254819,0.0,0.0,0.0,0.0008759534969212388,0
Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,0.7868852459016394,0.0,0.0,0.26760563380281693,0.0,0.3012048192771084,0.11186295503211993,0.0,0.0,0.0,0.004026514107159269,1
Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.9016393442622951,0.0,0.0,0.35211267605633806,0.9527905581116224,0.2891566265060241,0.0,0.0,0.0,0.0,0.004129905339582759,1
Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,0.03278688524590162,0.0,0.5454545454545454,0.0,0.0,0.6867469879518073,0.04753747323340471,0.0,0.0,0.0,0.0046123977575590475,0
Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,0.21311475409836067,0.125,0.36363636363636365,0.35211267605633806,0.0,0.20481927710843376,0.020128479657387583,0.0,0.0,0.0,3.4463744141163496e-05,0
Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.2622950819672132,0.0,0.0,0.26760563380281693,0.0,0.1927710843373494,0.17430406852248395,0.0,0.0,0.0,0.0,0
Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.1311475409836066,0.375,0.0,0.0,0.0,0.6867469879518073,0.17430406852248395,0.0,0.0,0.0,0.004715788989982539,1
Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.3606557377049181,0.375,0.09090909090909091,0.6056338028169015,0.75375075015003,0.26506024096385544,0.2020556745182013,0.0,0.0,0.0,0.4761510890543149,0
Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.9672131147540984,0.0,0.0,0.0,0.4950990198039608,0.24096385542168677,0.19828693790149893,0.0,0.0,0.0,0.007108147229114971,1
Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.5081967213114754,0.0,0.0,0.26760563380281693,0.49469893978795765,0.27710843373493976,0.14569593147751608,0.0,0.3162533306005329,0.0,0.00403800202187299,0
Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.7213114754098361,0.0,0.0,0.0,0.0,0.08433734939759036,0.037259100642398284,0.0,0.0,0.0,0.0020850565205403917,1
Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.8032786885245903,0.0,0.0,0.08450704225352114,0.0,0.22891566265060245,0.00017130620985010707,0.0,0.0,0.0,0.021169354838709676,0
Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.1639344262295082,0.0,0.09090909090909091,0.7323943661971831,0.0,0.9638554216867471,0.18372591006423983,0.0,0.0,0.0,0.0047531247128021325,0
Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.459016393442623,0.0,0.0,0.0,0.0,0.04819277108433736,0.7781584582441113,0.010901193311694934,0.0,0.0,0.00032453359066262293,1
