Phone_service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Age_s,Number_Dependents_s,Number_Referrals_s,Tenure_s,Average_Monthly_Long_Distance_Charges_s,Average_Monthly_GB_Download_s,Monthly_Charge_s,Total_Charges_s,Total_Refunds_s,Total_Extra_Data_Charges_s,Total_Long_Distance_Charges_s,Churn
Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.19672131147540983,0.0,0.0,0.7746478873239437,0.7601040416166467,0.26506024096385544,0.07873684210526315,0.0,0.0,0.0,0.004365725660513934,0
Yes,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.03278688524590162,0.0,0.4,0.9154929577464789,0.0,0.8072289156626506,0.5376842105263158,0.0,0.0,0.0,0.0006277144408251901,0
Yes,No,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,0.3606557377049181,0.16666666666666666,0.0,0.15492957746478872,0.0,0.3253012048192771,0.5882105263157894,0.0,0.0,0.0,0.09184989142236699,0
Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.3770491803278688,0.0,0.1,0.9577464788732395,0.0,0.3012048192771084,0.8753684210526316,0.0,0.0,0.0,0.006243213897937025,1
Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.21311475409836067,0.0,0.0,0.7887323943661972,0.0,0.16867469879518074,0.19865263157894736,0.0,0.0,0.0,0.19646613735070578,0
Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9016393442622951,0.0,0.0,0.04225352112676056,0.0,0.26506024096385544,0.1433263157894737,0.0,0.0,0.0,0.00029406442272891787,1
Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.3606557377049181,0.16666666666666666,0.4,0.8450704225352113,0.0,0.22891566265060245,0.02063157894736842,0.0,0.0,0.0,0.7169997511762577,0
Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.5573770491803279,0.0,0.7000000000000001,1.0,0.0,0.10843373493975905,0.6960000000000001,0.0,0.0,0.0,0.005700325732899024,0
Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.836065573770492,0.0,0.0,0.8169014084507042,0.0,0.1566265060240964,0.7903157894736842,0.6508946554190139,0.16608784473953014,0.0,0.003398706116539993,1
Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.4918032786885246,0.0,0.0,0.014084507042253521,0.0,0.25301204819277107,0.06863157894736842,0.0,0.0,0.0,0.001459011943539631,0
Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,0.6557377049180328,0.0,0.1,0.19718309859154928,0.0,0.13253012048192772,0.06273684210526316,0.0,0.0,0.0,0.0,0
