Customer_ID,Gender,Age,Married,Number_Dependents,City,Zip_Code,Latitude,Longtitude,Number_Referrals,Tenure,Offer,Phone_service,Average_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Average_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Tenure_bins,Monthly_Charge_bins,Age_bins
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,34827662,-118999073.0,2,9,,Yes,0.0,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,17.06,0.0,0.0,0.0,21.51,974.81,0,,,Baixo,Baixo,Baixo
0003-MKNFE,Male,46,No,0,Glendale,91206,34162515,-118203869.0,0,9,,Yes,0.0,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,23.59,0.0,14.33,0.0,0.21,10.28,0,,,Baixo,Baixo,Baixo
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,33645672,-117922613.0,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.09,280.85,0.0,0.0,14.06,7.45,1,Competitor,Competitor had better devices,Baixo,Baixo,Baixo
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38014457,-122115432.0,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,1237.85,0.0,0.0,361.66,15.51,1,Dissatisfaction,Product dissatisfaction,Baixo,Baixo,Baixo
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34227846,-119079903.0,3,3,,Yes,0.0,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,11.09,0.0,0.0,0.0,22.14,1.54,1,Dissatisfaction,Network reliability,Baixo,Baixo,Baixo
0013-MHZWF,Female,23,No,3,Midpines,95345,37581496,-119972762.0,0,9,Offer E,Yes,0.0,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,21.04,0.0,0.0,0.0,150.93,2.38,0,,,Baixo,Baixo,Baixo
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,34757477,-120550507.0,1,71,Offer A,Yes,0.0,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,13.07,0.0,0.0,0.0,11.16,19.41,0,,,Alto,Baixo,Baixo
0014-BMAQU,Male,52,Yes,0,Napa,94558,38489789,-12227011.0,8,63,Offer B,Yes,0.0,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,0.0,0.0,0.0,0.48,22.28,0,,,Alto,Médio-Alto,Médio-Alto
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,34296813,-118685703.0,0,7,Offer E,Yes,0.0,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.02,0.0,0.0,0.0,73.71,6.06,0,,,Baixo,Baixo,Baixo
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,38984756,-121345074.0,3,65,,Yes,0.0,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,18.45,0.0,0.0,0.0,1.09,7.08,0,,,Alto,Baixo,Baixo
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,3299356,-117207121.0,0,54,,No,,,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,21.02,0.0,0.0,0.0,0.0,12.55,0,,,Médio-Alto,Baixo,Baixo
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37378541,-122020456.0,2,72,,Yes,0.0,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,20.08,8456.75,0.0,0.0,1152.72,9.47,0,,,Alto,Baixo,Baixo
0018-NYROU,Female,58,Yes,0,Antelope,95843,38715498,-121363411.0,0,5,,Yes,0.0,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,0.0,0.0,0.0,21.25,444.75,0,,,Baixo,Médio-Alto,Médio-Alto
0019-EFAEP,Female,32,No,0,La Mesa,91942,32782501,-11701611.0,0,72,Offer A,Yes,0.0,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,5.03,0.0,0.0,0.0,0.0,7.25,0,,,Alto,Baixo,Baixo
0019-GFNTW,Female,39,No,0,Los Olivos,93441,3470434,-12002609.0,0,56,,No,,,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,21.05,0.0,0.0,0.0,0.0,16.01,0,,,Alto,Baixo,Baixo
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36464635,-119094348.0,9,71,Offer A,Yes,0.0,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,0.0,0.0,0.0,15.46,8784.86,0,,,Alto,Alto,Alto
